formula_perception_1  | x:nan,	y:nan
formula_perception_1  | x:-0.239071,	y:0.0200891
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 51 x_3d = -0.039 y_3d = 0.205 z_3d = 1.73, prob = 0.24
formula_perception_1  | x:-0.244205,	y:0.0201046
formula_perception_1  | obj_id = 2,  x = 285, y = 191, w = 51 x_3d = -0.0391 y_3d = 0.201 z_3d = 1.73, prob = 0.248
formula_perception_1  | x:-0.244273,	y:0.0151606
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 51 x_3d = -0.039 y_3d = 0.205 z_3d = 1.73, prob = 0.288
formula_perception_1  | x:-0.244666,	y:0.0201426
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 51 x_3d = -0.039 y_3d = 0.205 z_3d = 1.73, prob = 0.242
formula_perception_1  | x:-0.24467,	y:0.0201429
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 51 x_3d = -0.039 y_3d = 0.205 z_3d = 1.74, prob = 0.214
formula_perception_1  | x:-0.244895,	y:0.0201615
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 51 x_3d = -0.039 y_3d = 0.205 z_3d = 1.73, prob = 0.263
formula_perception_1  | x:-0.244296,	y:0.0201121
formula_perception_1  | obj_id = 2,  x = 285, y = 191, w = 51 x_3d = -0.039 y_3d = 0.201 z_3d = 1.73, prob = 0.231
formula_perception_1  | x:-0.244543,	y:0.0151774
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 51 x_3d = -0.039 y_3d = 0.206 z_3d = 1.73, prob = 0.208
formula_perception_1  | x:-0.244644,	y:0.0201408
formula_perception_1  | obj_id = 2,  x = 286, y = 192, w = 51 x_3d = -0.0341 y_3d = 0.202 z_3d = 1.73, prob = 0.224
formula_perception_1  | x:-0.239065,	y:0.0200886
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 51 x_3d = -0.039 y_3d = 0.205 z_3d = 1.73, prob = 0.242
formula_perception_1  | x:-0.244605,	y:0.0201376
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 52 x_3d = -0.0341 y_3d = 0.202 z_3d = 1.73, prob = 0.223
formula_perception_1  | x:-0.244199,	y:0.0201042
